,Unnamed: 0,zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per,job_growth_per_nom,Normalized Ratio_nom,Total Crimes_nom,School Rating_nom,summary_metric
51,51,29209,33.93,-80.95,127900,941,1.780469116,4.5,-9403,-0.7,-0.53,1.44,-5.23,1.05,-3.27
52,52,29210,34.05,-81.11,124200,826,1.609436393,3.9,-8913,-0.7,-0.53,1.30,-4.96,0.91,-3.27
53,53,29212,34.08,-81.2,163500,1000,1.480122324,6,-8913,-0.7,-0.53,1.20,-4.96,1.40,-2.89
54,54,29223,34.09,-80.92,118700,976,1.989823083,4,-9259,-0.7,-0.53,1.61,-5.15,0.94,-3.14
55,55,29229,34.14,-80.89,146600,1169,1.929727149,5.5,-8505,-0.7,-0.53,1.56,-4.73,1.29,-2.41
56,56,29301,34.93,-82.01,123000,792,1.558243902,4.1,-4539,2,1.50,1.26,-2.53,0.96,1.20
57,57,29302,34.88,-81.84,142900,770,1.303988803,4.7,-4439,2,1.50,1.05,-2.47,1.10,1.19
58,58,29303,35,-81.96,88400,653,1.787624434,3.6,-4539,2,1.50,1.44,-2.53,0.84,1.26
59,59,29306,34.94,-81.92,84600,698,1.996643026,4.2,-4439,2,1.50,1.61,-2.47,0.98,1.63
60,60,29307,34.98,-81.83,142900,761,1.288747376,5.4,-4645,2,1.50,1.04,-2.59,1.26,1.22
61,61,29323,35.14,-81.86,125900,697,1.33974583,6.2,-96,2,1.50,1.08,-0.05,1.45,3.98
62,62,29325,34.47,-81.86,208300,738,0.857397984,3.8,-616,2,1.50,0.69,-0.34,0.89,2.74
63,63,29334,34.93,-82.13,157600,894,1.372766497,5.8,-1167,2,1.50,1.11,-0.65,1.36,3.32
64,64,29340,35.07,-81.65,81100,648,1.933612824,5,-1123,2,1.50,1.56,-0.63,1.17,3.61
65,65,29341,35.11,-81.71,107500,678,1.526288372,3.7,-1123,2,1.50,1.23,-0.63,0.87,2.98
66,66,29349,35.05,-82.09,151600,767,1.224366755,6.3,-351,2,1.50,0.99,-0.20,1.47,3.77
67,67,29353,34.83,-81.67,208300,566,0.657570811,6,-35,2,1.50,0.53,-0.02,1.40,3.42
68,68,29356,35.17,-82.18,166700,703,1.02055189,0,-71,2,1.50,0.82,-0.04,0.00,2.29
69,69,29360,34.5,-82.02,208300,653,0.758646183,3,-698,2.5,1.88,0.61,-0.39,0.70,2.81
70,70,29365,34.95,-82.12,148400,820,1.337196765,5.1,-1267,2,1.50,1.08,-0.71,1.19,3.07
71,71,29369,34.87,-82.02,163900,905,1.336241611,4.7,-4439,2,1.50,1.08,-2.47,1.10,1.21
72,72,29372,34.89,-81.76,87300,583,1.616105384,5.7,-80,2,1.50,1.31,-0.04,1.33,4.10
73,73,29376,34.87,-81.96,153100,779,1.231338994,4.8,-4439,2,1.50,1.00,-2.47,1.12,1.15
74,74,29379,34.72,-81.62,208300,596,0.692424388,4,-478,2,1.50,0.56,-0.27,0.94,2.73
75,75,29385,34.95,-82.09,110100,712,1.564977293,5.2,-386,2,1.50,1.26,-0.21,1.22,3.77
76,76,29401,32.78,-79.93,1506800,1568,0.251829042,5.3,-5155,1.5,1.13,0.20,-2.87,1.24,-0.30
77,77,29403,32.81,-79.94,412600,986,0.578313136,4.2,-5155,1.5,1.13,0.47,-2.87,0.98,-0.29
78,78,29405,32.86,-79.98,131900,830,1.522820318,3.8,-13484,1.5,1.13,1.23,-7.51,0.89,-4.26
79,79,29407,32.78,-79.99,303100,983,0.784843286,4.1,-5155,1.5,1.13,0.63,-2.87,0.96,-0.15
80,80,29409,32.8,-79.96,208300,982,1.14087374,4.3,-5155,1.5,1.13,0.92,-2.87,1.01,0.19
81,81,29410,32.91,-80.01,229300,984,1.038499782,4.5,-1715,1.5,1.13,0.84,-0.95,1.05,2.07
82,82,29418,32.91,-80.09,208300,905,1.051416227,4.7,-8329,1.5,1.13,0.85,-4.64,1.10,-1.56
83,83,29420,32.93,-80.1,181600,1038,1.383237885,4.6,-8329,1.5,1.13,1.12,-4.64,1.08,-1.31
