zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per
29488,32.9,-80.67,100700,742,1.78,3.0,732,1.6
29492,32.9,-79.91,480500,1474,0.74,5.0,5155,1.5
29501,34.18,-79.78,140800,754,1.3,5.3,3309,0.7
29510,33.44,-79.56,95600,700,1.77,2.7,215,2.7
29511,33.99,-79.2,145500,775,1.29,7.3,73,2.7
29512,34.63,-79.68,208300,582,0.68,2.3,865,0.7
29520,34.69,-79.89,208300,563,0.65,3.2,440,0.7
29525,34.57,-79.54,208300,507,0.59,4.5,19,0.7
29526,33.83,-79.04,168600,831,1.19,6.5,3264,2.7
29527,33.79,-79.15,139500,755,1.31,5.5,1631,2.7
29530,33.97,-79.74,91400,516,1.37,4.0,7,0.7
29532,34.29,-79.87,71900,629,2.12,4.8,799,0.7
29544,34.05,-79.24,139700,792,1.37,6.3,73,2.7
29550,34.36,-80.08,87600,643,1.78,4.8,1408,0.7
29555,33.81,-79.44,88300,545,1.49,4.3,88,2.7
29556,33.66,-79.82,208300,638,0.74,3.2,265,0.7
29560,33.86,-79.75,87800,668,1.84,2.6,768,0.7
29563,34.34,-79.16,208300,483,0.56,4.0,52,2.7
29564,33.52,-79.88,208300,632,0.73,0.0,0,2.1
29565,34.33,-79.43,208300,543,0.63,4.0,124,0.7
29566,33.87,-78.63,185600,836,1.09,6.6,1633,2.7
29569,34.05,-78.89,138800,729,1.27,3.8,155,2.7
29570,34.66,-79.54,208300,360,0.42,4.5,184,0.7
29571,34.17,-79.4,208300,551,0.64,3.4,638,0.7
29574,34.2,-79.25,208300,465,0.54,3.2,1199,2.7
29575,33.63,-78.97,225900,849,0.91,7.5,6375,2.7
29581,34.23,-79.14,111500,630,1.37,0.0,12,2.7
29582,33.82,-78.67,275500,923,0.81,7.0,1696,2.7
29583,33.99,-79.56,86900,566,1.58,3.0,35,0.7
29585,33.52,-79.14,335500,1128,0.81,6.2,13,2.7
29588,33.63,-79.02,176000,915,1.26,7.4,5994,2.7
29590,33.59,-79.85,208300,1085,1.26,0.0,0,2.1
29591,33.91,-79.74,87500,556,1.54,3.0,775,0.7
29593,34.5,-79.85,208300,608,0.71,2.0,18,0.7
29601,34.85,-82.4,252200,704,0.68,5.3,4469,2.5
29605,34.77,-82.38,144400,800,1.34,4.9,4469,2.5
29607,34.83,-82.37,196500,917,1.13,5.7,5106,2.5
29609,34.91,-82.39,196600,744,0.92,5.8,4469,2.5
29611,34.83,-82.46,101000,712,1.71,4.6,4469,2.5
29614,34.87,-82.36,208300,493,0.57,5.9,4469,2.5
